Gene1	Gene2	Status	Description
G305	G1814	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G3966	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G277	G2895	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G587	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G331	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G847	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G544	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4151	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G3360	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G392	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G681	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G4265	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3475	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G334	G3176	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G10	G1566	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4004	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4344	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G107	G2896	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4305	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1888	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G769	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G2154	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1539	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G36	G3812	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2784	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G303	G1993	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4063	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G61	G3955	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G60	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G2381	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G1473	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G1246	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G2821	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2000	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G593	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1588	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G315	G3356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3754	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2615	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G424	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G247	G2995	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3432	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G172	G4279	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3729	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G2125	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2287	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G166	G1036	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G172	G3990	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G2705	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G4312	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3441	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2641	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2821	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3256	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G1222	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G4351	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G2805	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G992	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G2896	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G83	G3561	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G4076	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G113	G3742	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G1019	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3073	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G1650	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2097	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G2458	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3938	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3813	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G3506	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G965	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G896	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G1830	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3983	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G4312	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G1847	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3057	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3544	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3537	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1539	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2844	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2187	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G4330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G109	G3695	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G2786	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G1564	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G925	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G283	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G259	G4220	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1595	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G278	G3998	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2707	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3562	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3473	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2041	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3365	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G147	G809	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G3966	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G3321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3432	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G970	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G2014	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1062	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3994	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G890	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2117	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G147	G3099	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G1715	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G495	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2781	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G4209	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G172	G2855	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2265	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2968	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G1323	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G236	G3544	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G2360	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G328	G3095	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2269	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G6	G1101	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3142	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3891	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3537	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3475	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3595	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G197	G4041	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G3792	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3708	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1589	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G2242	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G25	G3619	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G3252	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G952	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3579	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3339	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G422	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1427	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4098	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3831	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G251	G469	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G796	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G3543	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G3670	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G2314	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3522	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G343	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G3047	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G277	G3282	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4303	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G1846	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G688	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G303	G4146	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G253	G2566	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2566	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G659	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G315	G3748	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G328	G1255	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G480	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G2668	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2073	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G3036	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3483	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G227	G3356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G2604	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G947	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2393	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2287	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4252	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1250	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2595	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3554	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G145	G4356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4113	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G936	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3073	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G2133	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G2825	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G150	G3160	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G74	G1392	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3295	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1827	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3831	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1830	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G887	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4333	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3621	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4106	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2854	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G331	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1645	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4003	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4255	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2707	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G113	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G96	G110	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G113	G3953	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3951	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3374	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G1308	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3365	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G48	G3425	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1595	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3953	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3459	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2132	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2887	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G2655	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G110	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G170	G792	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G1284	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G183	G3356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2592	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G1091	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G10	G3199	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G1119	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2758	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G665	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1392	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4072	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2637	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G1703	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G58	G3442	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2135	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G232	G3738	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G869	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3727	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3233	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3528	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3365	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G83	G2754	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G25	G3316	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G1020	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G3650	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1036	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2746	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G210	G2737	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3831	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1996	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3326	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G1827	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G4071	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1047	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3108	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G2314	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2187	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G176	G1662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G4058	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G197	G1985	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4057	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G714	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3966	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G824	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G1941	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3127	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2041	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G236	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G147	G956	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2629	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G2157	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G3676	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1586	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G227	G3748	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G534	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G488	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G109	G4180	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3021	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G2723	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G1089	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3896	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1532	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G263	G3893	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G1765	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G907	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2264	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3727	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G897	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G11	G3546	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G1170	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G1551	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1950	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G4351	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G8	G961	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1730	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3646	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G1035	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G209	G1940	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G93	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2249	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G2689	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3568	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G3462	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G2854	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G2387	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4032	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2732	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4488	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3775	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G48	G1864	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2474	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G1847	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G208	G2924	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3840	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G118	G2859	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4362	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G74	G3768	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3345	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3129	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3827	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1973	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4157	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G147	G207	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2303	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G1394	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3315	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2637	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G1736	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G167	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G123	G433	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G394	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1181	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3483	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G4074	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1019	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G2265	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1844	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G1116	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2886	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G869	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2916	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G3607	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G247	G4151	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G232	G1451	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2832	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4447	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G2123	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G11	G2961	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1705	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3731	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4422	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1950	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1730	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3460	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G1952	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2446	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G3252	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3529	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1653	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G8	G853	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G1116	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G1246	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2474	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G3373	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G488	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2940	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4040	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G103	G1266	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G2450	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3374	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3813	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3755	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G2353	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G691	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G330	G1898	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G1119	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G572	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3021	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G2897	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G2784	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G31	G3688	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G934	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2574	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G209	G1090	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3952	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G797	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G912	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4167	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G1186	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2782	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G4246	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G592	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G224	G1326	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2989	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2605	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1768	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G796	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G2327	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G3584	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G232	G2605	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G187	G2989	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G4422	True Positive	Interação predita pelo SCENIC+ que está no gold standard
