	cell_id	n_peaks	total_peaks
Cell_1551	Cell_1551	484	484
Cell_1552	Cell_1552	455	455
Cell_1553	Cell_1553	462	462
Cell_1554	Cell_1554	472	472
Cell_1555	Cell_1555	525	525
Cell_1556	Cell_1556	469	469
Cell_1557	Cell_1557	475	475
Cell_1558	Cell_1558	465	465
Cell_1559	Cell_1559	478	478
Cell_1560	Cell_1560	462	462
Cell_1561	Cell_1561	433	433
Cell_1562	Cell_1562	474	474
Cell_1563	Cell_1563	461	461
Cell_1564	Cell_1564	492	492
Cell_1565	Cell_1565	495	495
Cell_1566	Cell_1566	428	428
Cell_1567	Cell_1567	485	485
Cell_1568	Cell_1568	460	460
Cell_1569	Cell_1569	460	460
Cell_1570	Cell_1570	478	478
Cell_1571	Cell_1571	454	454
Cell_1572	Cell_1572	442	442
Cell_1573	Cell_1573	451	451
Cell_1574	Cell_1574	460	460
Cell_1575	Cell_1575	449	449
Cell_1576	Cell_1576	490	490
Cell_1577	Cell_1577	468	468
Cell_1578	Cell_1578	485	485
Cell_1579	Cell_1579	432	432
Cell_1580	Cell_1580	500	500
Cell_1581	Cell_1581	438	438
Cell_1582	Cell_1582	458	458
Cell_1583	Cell_1583	481	481
Cell_1584	Cell_1584	470	470
Cell_1585	Cell_1585	464	464
Cell_1586	Cell_1586	487	487
Cell_1587	Cell_1587	444	444
Cell_1588	Cell_1588	516	516
Cell_1589	Cell_1589	468	468
Cell_1590	Cell_1590	455	455
Cell_1591	Cell_1591	487	487
Cell_1592	Cell_1592	470	470
Cell_1593	Cell_1593	459	459
Cell_1594	Cell_1594	491	491
Cell_1595	Cell_1595	474	474
Cell_1596	Cell_1596	470	470
Cell_1597	Cell_1597	477	477
Cell_1598	Cell_1598	410	410
Cell_1599	Cell_1599	429	429
Cell_1600	Cell_1600	493	493
Cell_1601	Cell_1601	447	447
Cell_1602	Cell_1602	464	464
Cell_1603	Cell_1603	467	467
Cell_1604	Cell_1604	470	470
Cell_1605	Cell_1605	475	475
Cell_1606	Cell_1606	478	478
Cell_1607	Cell_1607	501	501
Cell_1608	Cell_1608	448	448
Cell_1609	Cell_1609	499	499
Cell_1610	Cell_1610	452	452
Cell_1611	Cell_1611	490	490
Cell_1612	Cell_1612	458	458
Cell_1613	Cell_1613	459	459
Cell_1614	Cell_1614	477	477
Cell_1615	Cell_1615	450	450
Cell_1616	Cell_1616	456	456
Cell_1617	Cell_1617	462	462
Cell_1618	Cell_1618	502	502
Cell_1619	Cell_1619	468	468
Cell_1620	Cell_1620	460	460
Cell_1621	Cell_1621	425	425
Cell_1622	Cell_1622	478	478
Cell_1623	Cell_1623	472	472
Cell_1624	Cell_1624	502	502
Cell_1625	Cell_1625	461	461
Cell_1626	Cell_1626	468	468
Cell_1627	Cell_1627	447	447
Cell_1628	Cell_1628	440	440
Cell_1629	Cell_1629	474	474
Cell_1630	Cell_1630	460	460
Cell_1631	Cell_1631	496	496
Cell_1632	Cell_1632	456	456
Cell_1633	Cell_1633	481	481
Cell_1634	Cell_1634	474	474
Cell_1635	Cell_1635	457	457
Cell_1636	Cell_1636	448	448
Cell_1637	Cell_1637	453	453
Cell_1638	Cell_1638	449	449
Cell_1639	Cell_1639	485	485
Cell_1640	Cell_1640	510	510
Cell_1641	Cell_1641	466	466
Cell_1642	Cell_1642	450	450
Cell_1643	Cell_1643	471	471
Cell_1644	Cell_1644	466	466
Cell_1645	Cell_1645	489	489
Cell_1646	Cell_1646	472	472
Cell_1647	Cell_1647	462	462
Cell_1648	Cell_1648	454	454
Cell_1649	Cell_1649	438	438
Cell_1650	Cell_1650	510	510
Cell_1651	Cell_1651	459	459
Cell_1652	Cell_1652	456	456
Cell_1653	Cell_1653	464	464
Cell_1654	Cell_1654	472	472
Cell_1655	Cell_1655	451	451
Cell_1656	Cell_1656	472	472
Cell_1657	Cell_1657	458	458
Cell_1658	Cell_1658	477	477
Cell_1659	Cell_1659	459	459
Cell_1660	Cell_1660	490	490
Cell_1661	Cell_1661	477	477
Cell_1662	Cell_1662	460	460
Cell_1663	Cell_1663	460	460
Cell_1664	Cell_1664	452	452
Cell_1665	Cell_1665	482	482
Cell_1666	Cell_1666	443	443
Cell_1667	Cell_1667	453	453
Cell_1668	Cell_1668	446	446
Cell_1669	Cell_1669	475	475
Cell_1670	Cell_1670	492	492
Cell_1671	Cell_1671	494	494
Cell_1672	Cell_1672	480	480
Cell_1673	Cell_1673	449	449
Cell_1674	Cell_1674	469	469
Cell_1675	Cell_1675	447	447
Cell_1676	Cell_1676	448	448
Cell_1677	Cell_1677	446	446
Cell_1678	Cell_1678	461	461
Cell_1679	Cell_1679	446	446
Cell_1680	Cell_1680	444	444
Cell_1681	Cell_1681	489	489
Cell_1682	Cell_1682	464	464
Cell_1683	Cell_1683	465	465
Cell_1684	Cell_1684	493	493
Cell_1685	Cell_1685	464	464
Cell_1686	Cell_1686	492	492
Cell_1687	Cell_1687	500	500
Cell_1688	Cell_1688	494	494
Cell_1689	Cell_1689	481	481
Cell_1690	Cell_1690	462	462
Cell_1691	Cell_1691	446	446
Cell_1692	Cell_1692	465	465
Cell_1693	Cell_1693	451	451
Cell_1694	Cell_1694	484	484
Cell_1695	Cell_1695	448	448
Cell_1696	Cell_1696	458	458
Cell_1697	Cell_1697	450	450
Cell_1698	Cell_1698	452	452
Cell_1699	Cell_1699	469	469
Cell_1700	Cell_1700	461	461
Cell_1701	Cell_1701	471	471
Cell_1702	Cell_1702	496	496
Cell_1703	Cell_1703	482	482
Cell_1704	Cell_1704	491	491
Cell_1705	Cell_1705	445	445
Cell_1706	Cell_1706	447	447
Cell_1707	Cell_1707	477	477
Cell_1708	Cell_1708	486	486
Cell_1709	Cell_1709	491	491
Cell_1710	Cell_1710	501	501
Cell_1711	Cell_1711	414	414
Cell_1712	Cell_1712	463	463
Cell_1713	Cell_1713	460	460
Cell_1714	Cell_1714	445	445
Cell_1715	Cell_1715	470	470
Cell_1716	Cell_1716	487	487
Cell_1717	Cell_1717	469	469
Cell_1718	Cell_1718	471	471
Cell_1719	Cell_1719	495	495
Cell_1720	Cell_1720	438	438
Cell_1721	Cell_1721	495	495
Cell_1722	Cell_1722	459	459
Cell_1723	Cell_1723	444	444
Cell_1724	Cell_1724	460	460
Cell_1725	Cell_1725	438	438
Cell_1726	Cell_1726	439	439
Cell_1727	Cell_1727	467	467
Cell_1728	Cell_1728	483	483
Cell_1729	Cell_1729	451	451
Cell_1730	Cell_1730	501	501
Cell_1731	Cell_1731	473	473
Cell_1732	Cell_1732	461	461
Cell_1733	Cell_1733	411	411
Cell_1734	Cell_1734	475	475
Cell_1735	Cell_1735	506	506
Cell_1736	Cell_1736	476	476
Cell_1737	Cell_1737	471	471
Cell_1738	Cell_1738	490	490
Cell_1739	Cell_1739	484	484
Cell_1740	Cell_1740	460	460
Cell_1741	Cell_1741	469	469
Cell_1742	Cell_1742	427	427
Cell_1743	Cell_1743	494	494
Cell_1744	Cell_1744	452	452
Cell_1745	Cell_1745	489	489
Cell_1746	Cell_1746	477	477
Cell_1747	Cell_1747	514	514
Cell_1748	Cell_1748	469	469
Cell_1749	Cell_1749	487	487
Cell_1750	Cell_1750	425	425
Cell_1751	Cell_1751	448	448
Cell_1752	Cell_1752	446	446
Cell_1753	Cell_1753	446	446
Cell_1754	Cell_1754	501	501
Cell_1755	Cell_1755	480	480
Cell_1756	Cell_1756	467	467
Cell_1757	Cell_1757	443	443
Cell_1758	Cell_1758	473	473
Cell_1759	Cell_1759	459	459
Cell_1760	Cell_1760	441	441
Cell_1761	Cell_1761	457	457
Cell_1762	Cell_1762	433	433
Cell_1763	Cell_1763	466	466
Cell_1764	Cell_1764	435	435
Cell_1765	Cell_1765	449	449
Cell_1766	Cell_1766	452	452
Cell_1767	Cell_1767	488	488
Cell_1768	Cell_1768	470	470
Cell_1769	Cell_1769	452	452
Cell_1770	Cell_1770	460	460
Cell_1771	Cell_1771	456	456
Cell_1772	Cell_1772	461	461
Cell_1773	Cell_1773	482	482
Cell_1774	Cell_1774	488	488
Cell_1775	Cell_1775	474	474
Cell_1776	Cell_1776	455	455
Cell_1777	Cell_1777	451	451
Cell_1778	Cell_1778	451	451
Cell_1779	Cell_1779	463	463
Cell_1780	Cell_1780	474	474
Cell_1781	Cell_1781	451	451
Cell_1782	Cell_1782	461	461
Cell_1783	Cell_1783	446	446
Cell_1784	Cell_1784	477	477
Cell_1785	Cell_1785	448	448
Cell_1786	Cell_1786	469	469
Cell_1787	Cell_1787	482	482
Cell_1788	Cell_1788	463	463
Cell_1789	Cell_1789	462	462
Cell_1790	Cell_1790	484	484
Cell_1791	Cell_1791	463	463
Cell_1792	Cell_1792	475	475
Cell_1793	Cell_1793	500	500
Cell_1794	Cell_1794	479	479
Cell_1795	Cell_1795	470	470
Cell_1796	Cell_1796	469	469
Cell_1797	Cell_1797	419	419
Cell_1798	Cell_1798	479	479
Cell_1799	Cell_1799	475	475
Cell_1800	Cell_1800	444	444
Cell_1801	Cell_1801	483	483
Cell_1802	Cell_1802	477	477
Cell_1803	Cell_1803	468	468
Cell_1804	Cell_1804	468	468
Cell_1805	Cell_1805	448	448
Cell_1806	Cell_1806	498	498
Cell_1807	Cell_1807	452	452
Cell_1808	Cell_1808	455	455
Cell_1809	Cell_1809	452	452
Cell_1810	Cell_1810	448	448
Cell_1811	Cell_1811	495	495
Cell_1812	Cell_1812	461	461
Cell_1813	Cell_1813	463	463
Cell_1814	Cell_1814	457	457
Cell_1815	Cell_1815	457	457
Cell_1816	Cell_1816	507	507
Cell_1817	Cell_1817	463	463
Cell_1818	Cell_1818	482	482
Cell_1819	Cell_1819	477	477
Cell_1820	Cell_1820	458	458
Cell_1821	Cell_1821	461	461
Cell_1822	Cell_1822	471	471
Cell_1823	Cell_1823	475	475
Cell_1824	Cell_1824	472	472
Cell_1825	Cell_1825	497	497
Cell_1826	Cell_1826	466	466
Cell_1827	Cell_1827	436	436
Cell_1828	Cell_1828	487	487
Cell_1829	Cell_1829	467	467
Cell_1830	Cell_1830	432	432
Cell_1831	Cell_1831	463	463
Cell_1832	Cell_1832	499	499
Cell_1833	Cell_1833	468	468
Cell_1834	Cell_1834	470	470
Cell_1835	Cell_1835	481	481
Cell_1836	Cell_1836	439	439
Cell_1837	Cell_1837	444	444
Cell_1838	Cell_1838	459	459
Cell_1839	Cell_1839	465	465
Cell_1840	Cell_1840	493	493
Cell_1841	Cell_1841	460	460
Cell_1842	Cell_1842	502	502
Cell_1843	Cell_1843	460	460
Cell_1844	Cell_1844	463	463
Cell_1845	Cell_1845	473	473
Cell_1846	Cell_1846	426	426
Cell_1847	Cell_1847	455	455
Cell_1848	Cell_1848	475	475
Cell_1849	Cell_1849	466	466
Cell_1850	Cell_1850	480	480
Cell_1851	Cell_1851	458	458
Cell_1852	Cell_1852	472	472
Cell_1853	Cell_1853	494	494
Cell_1854	Cell_1854	433	433
Cell_1855	Cell_1855	464	464
Cell_1856	Cell_1856	475	475
Cell_1857	Cell_1857	454	454
Cell_1858	Cell_1858	469	469
Cell_1859	Cell_1859	495	495
Cell_1860	Cell_1860	467	467
Cell_1861	Cell_1861	459	459
Cell_1862	Cell_1862	468	468
Cell_1863	Cell_1863	433	433
Cell_1864	Cell_1864	463	463
Cell_1865	Cell_1865	447	447
Cell_1866	Cell_1866	436	436
Cell_1867	Cell_1867	478	478
Cell_1868	Cell_1868	464	464
Cell_1869	Cell_1869	437	437
Cell_1870	Cell_1870	454	454
Cell_1871	Cell_1871	482	482
Cell_1872	Cell_1872	507	507
Cell_1873	Cell_1873	479	479
Cell_1874	Cell_1874	453	453
Cell_1875	Cell_1875	462	462
Cell_1876	Cell_1876	460	460
Cell_1877	Cell_1877	482	482
Cell_1878	Cell_1878	430	430
Cell_1879	Cell_1879	473	473
Cell_1880	Cell_1880	470	470
Cell_1881	Cell_1881	479	479
Cell_1882	Cell_1882	495	495
Cell_1883	Cell_1883	456	456
Cell_1884	Cell_1884	500	500
Cell_1885	Cell_1885	437	437
Cell_1886	Cell_1886	466	466
Cell_1887	Cell_1887	446	446
Cell_1888	Cell_1888	450	450
Cell_1889	Cell_1889	456	456
Cell_1890	Cell_1890	439	439
Cell_1891	Cell_1891	481	481
Cell_1892	Cell_1892	452	452
Cell_1893	Cell_1893	432	432
Cell_1894	Cell_1894	467	467
Cell_1895	Cell_1895	465	465
Cell_1896	Cell_1896	468	468
Cell_1897	Cell_1897	461	461
Cell_1898	Cell_1898	485	485
Cell_1899	Cell_1899	452	452
Cell_1900	Cell_1900	492	492
Cell_1901	Cell_1901	479	479
Cell_1902	Cell_1902	453	453
Cell_1903	Cell_1903	456	456
Cell_1904	Cell_1904	457	457
Cell_1905	Cell_1905	466	466
Cell_1906	Cell_1906	471	471
Cell_1907	Cell_1907	454	454
Cell_1908	Cell_1908	456	456
Cell_1909	Cell_1909	500	500
Cell_1910	Cell_1910	470	470
Cell_1911	Cell_1911	448	448
Cell_1912	Cell_1912	443	443
Cell_1913	Cell_1913	478	478
Cell_1914	Cell_1914	441	441
Cell_1915	Cell_1915	474	474
Cell_1916	Cell_1916	474	474
Cell_1917	Cell_1917	454	454
Cell_1918	Cell_1918	502	502
Cell_1919	Cell_1919	524	524
Cell_1920	Cell_1920	493	493
Cell_1921	Cell_1921	489	489
Cell_1922	Cell_1922	437	437
Cell_1923	Cell_1923	462	462
Cell_1924	Cell_1924	497	497
Cell_1925	Cell_1925	456	456
Cell_1926	Cell_1926	473	473
Cell_1927	Cell_1927	438	438
Cell_1928	Cell_1928	451	451
Cell_1929	Cell_1929	442	442
Cell_1930	Cell_1930	470	470
Cell_1931	Cell_1931	476	476
Cell_1932	Cell_1932	442	442
Cell_1933	Cell_1933	492	492
Cell_1934	Cell_1934	467	467
Cell_1935	Cell_1935	506	506
Cell_1936	Cell_1936	482	482
Cell_1937	Cell_1937	490	490
Cell_1938	Cell_1938	464	464
Cell_1939	Cell_1939	452	452
Cell_1940	Cell_1940	493	493
Cell_1941	Cell_1941	471	471
Cell_1942	Cell_1942	461	461
Cell_1943	Cell_1943	428	428
Cell_1944	Cell_1944	455	455
Cell_1945	Cell_1945	472	472
Cell_1946	Cell_1946	477	477
Cell_1947	Cell_1947	454	454
Cell_1948	Cell_1948	451	451
Cell_1949	Cell_1949	456	456
Cell_1950	Cell_1950	455	455
Cell_1951	Cell_1951	471	471
Cell_1952	Cell_1952	454	454
Cell_1953	Cell_1953	454	454
Cell_1954	Cell_1954	464	464
Cell_1955	Cell_1955	451	451
Cell_1956	Cell_1956	470	470
Cell_1957	Cell_1957	467	467
Cell_1958	Cell_1958	448	448
Cell_1959	Cell_1959	440	440
Cell_1960	Cell_1960	449	449
Cell_1961	Cell_1961	463	463
Cell_1962	Cell_1962	453	453
Cell_1963	Cell_1963	479	479
Cell_1964	Cell_1964	465	465
Cell_1965	Cell_1965	453	453
Cell_1966	Cell_1966	488	488
Cell_1967	Cell_1967	451	451
Cell_1968	Cell_1968	481	481
Cell_1969	Cell_1969	453	453
Cell_1970	Cell_1970	456	456
Cell_1971	Cell_1971	478	478
Cell_1972	Cell_1972	468	468
Cell_1973	Cell_1973	478	478
Cell_1974	Cell_1974	489	489
Cell_1975	Cell_1975	454	454
Cell_1976	Cell_1976	483	483
Cell_1977	Cell_1977	439	439
Cell_1978	Cell_1978	479	479
Cell_1979	Cell_1979	463	463
Cell_1980	Cell_1980	476	476
Cell_1981	Cell_1981	445	445
Cell_1982	Cell_1982	469	469
Cell_1983	Cell_1983	446	446
Cell_1984	Cell_1984	472	472
Cell_1985	Cell_1985	495	495
Cell_1986	Cell_1986	453	453
Cell_1987	Cell_1987	437	437
Cell_1988	Cell_1988	467	467
Cell_1989	Cell_1989	462	462
Cell_1990	Cell_1990	476	476
Cell_1991	Cell_1991	429	429
Cell_1992	Cell_1992	445	445
Cell_1993	Cell_1993	473	473
Cell_1994	Cell_1994	447	447
Cell_1995	Cell_1995	434	434
Cell_1996	Cell_1996	472	472
Cell_1997	Cell_1997	471	471
Cell_1998	Cell_1998	484	484
Cell_1999	Cell_1999	476	476
Cell_2000	Cell_2000	452	452
Cell_2001	Cell_2001	457	457
Cell_2002	Cell_2002	466	466
Cell_2003	Cell_2003	463	463
Cell_2004	Cell_2004	428	428
Cell_2005	Cell_2005	476	476
Cell_2006	Cell_2006	461	461
Cell_2007	Cell_2007	474	474
Cell_2008	Cell_2008	492	492
Cell_2009	Cell_2009	448	448
Cell_2010	Cell_2010	472	472
Cell_2011	Cell_2011	466	466
Cell_2012	Cell_2012	464	464
Cell_2013	Cell_2013	466	466
Cell_2014	Cell_2014	477	477
Cell_2015	Cell_2015	488	488
Cell_2016	Cell_2016	453	453
Cell_2017	Cell_2017	495	495
Cell_2018	Cell_2018	478	478
Cell_2019	Cell_2019	471	471
Cell_2020	Cell_2020	516	516
Cell_2021	Cell_2021	448	448
Cell_2022	Cell_2022	453	453
Cell_2023	Cell_2023	445	445
Cell_2024	Cell_2024	497	497
Cell_2025	Cell_2025	445	445
Cell_2026	Cell_2026	484	484
Cell_2027	Cell_2027	472	472
Cell_2028	Cell_2028	506	506
Cell_2029	Cell_2029	500	500
Cell_2030	Cell_2030	489	489
Cell_2031	Cell_2031	464	464
Cell_2032	Cell_2032	484	484
Cell_2033	Cell_2033	484	484
Cell_2034	Cell_2034	469	469
Cell_2035	Cell_2035	478	478
Cell_2036	Cell_2036	469	469
Cell_2037	Cell_2037	460	460
Cell_2038	Cell_2038	486	486
Cell_2039	Cell_2039	434	434
Cell_2040	Cell_2040	462	462
Cell_2041	Cell_2041	467	467
Cell_2042	Cell_2042	456	456
Cell_2043	Cell_2043	460	460
Cell_2044	Cell_2044	449	449
Cell_2045	Cell_2045	451	451
Cell_2046	Cell_2046	441	441
Cell_2047	Cell_2047	433	433
Cell_2048	Cell_2048	474	474
Cell_2049	Cell_2049	477	477
Cell_2050	Cell_2050	460	460
Cell_2051	Cell_2051	483	483
Cell_2052	Cell_2052	485	485
Cell_2053	Cell_2053	492	492
Cell_2054	Cell_2054	487	487
Cell_2055	Cell_2055	454	454
Cell_2056	Cell_2056	472	472
Cell_2057	Cell_2057	461	461
Cell_2058	Cell_2058	470	470
Cell_2059	Cell_2059	470	470
Cell_2060	Cell_2060	471	471
Cell_2061	Cell_2061	470	470
Cell_2062	Cell_2062	489	489
Cell_2063	Cell_2063	447	447
Cell_2064	Cell_2064	456	456
Cell_2065	Cell_2065	446	446
Cell_2066	Cell_2066	423	423
Cell_2067	Cell_2067	455	455
Cell_2068	Cell_2068	479	479
Cell_2069	Cell_2069	469	469
Cell_2070	Cell_2070	439	439
Cell_2071	Cell_2071	441	441
Cell_2072	Cell_2072	477	477
Cell_2073	Cell_2073	440	440
Cell_2074	Cell_2074	472	472
Cell_2075	Cell_2075	480	480
Cell_2076	Cell_2076	444	444
Cell_2077	Cell_2077	466	466
Cell_2078	Cell_2078	439	439
Cell_2079	Cell_2079	463	463
Cell_2080	Cell_2080	431	431
Cell_2081	Cell_2081	481	481
Cell_2082	Cell_2082	444	444
Cell_2083	Cell_2083	482	482
Cell_2084	Cell_2084	428	428
Cell_2085	Cell_2085	446	446
Cell_2086	Cell_2086	464	464
Cell_2087	Cell_2087	486	486
Cell_2088	Cell_2088	463	463
Cell_2089	Cell_2089	460	460
Cell_2090	Cell_2090	492	492
Cell_2091	Cell_2091	470	470
Cell_2092	Cell_2092	452	452
Cell_2093	Cell_2093	466	466
Cell_2094	Cell_2094	473	473
Cell_2095	Cell_2095	471	471
Cell_2096	Cell_2096	493	493
Cell_2097	Cell_2097	472	472
Cell_2098	Cell_2098	435	435
Cell_2099	Cell_2099	462	462
Cell_2100	Cell_2100	440	440
Cell_2101	Cell_2101	429	429
Cell_2102	Cell_2102	459	459
Cell_2103	Cell_2103	481	481
Cell_2104	Cell_2104	455	455
Cell_2105	Cell_2105	443	443
Cell_2106	Cell_2106	465	465
Cell_2107	Cell_2107	462	462
Cell_2108	Cell_2108	461	461
Cell_2109	Cell_2109	499	499
Cell_2110	Cell_2110	430	430
Cell_2111	Cell_2111	418	418
Cell_2112	Cell_2112	456	456
Cell_2113	Cell_2113	456	456
Cell_2114	Cell_2114	452	452
Cell_2115	Cell_2115	440	440
Cell_2116	Cell_2116	460	460
Cell_2117	Cell_2117	446	446
Cell_2118	Cell_2118	474	474
Cell_2119	Cell_2119	483	483
Cell_2120	Cell_2120	473	473
Cell_2121	Cell_2121	450	450
Cell_2122	Cell_2122	464	464
Cell_2123	Cell_2123	454	454
Cell_2124	Cell_2124	472	472
Cell_2125	Cell_2125	460	460
Cell_2126	Cell_2126	466	466
Cell_2127	Cell_2127	445	445
Cell_2128	Cell_2128	500	500
Cell_2129	Cell_2129	477	477
Cell_2130	Cell_2130	437	437
Cell_2131	Cell_2131	426	426
Cell_2132	Cell_2132	480	480
Cell_2133	Cell_2133	481	481
Cell_2134	Cell_2134	429	429
Cell_2135	Cell_2135	468	468
Cell_2136	Cell_2136	437	437
Cell_2137	Cell_2137	445	445
Cell_2138	Cell_2138	461	461
Cell_2139	Cell_2139	467	467
Cell_2140	Cell_2140	451	451
Cell_2141	Cell_2141	425	425
Cell_2142	Cell_2142	467	467
Cell_2143	Cell_2143	467	467
Cell_2144	Cell_2144	469	469
Cell_2145	Cell_2145	486	486
Cell_2146	Cell_2146	431	431
Cell_2147	Cell_2147	460	460
Cell_2148	Cell_2148	485	485
Cell_2149	Cell_2149	474	474
Cell_2150	Cell_2150	444	444
Cell_2151	Cell_2151	479	479
Cell_2152	Cell_2152	449	449
Cell_2153	Cell_2153	464	464
Cell_2154	Cell_2154	458	458
Cell_2155	Cell_2155	479	479
Cell_2156	Cell_2156	438	438
Cell_2157	Cell_2157	473	473
Cell_2158	Cell_2158	465	465
Cell_2159	Cell_2159	456	456
Cell_2160	Cell_2160	472	472
Cell_2161	Cell_2161	465	465
Cell_2162	Cell_2162	467	467
Cell_2163	Cell_2163	440	440
Cell_2164	Cell_2164	495	495
Cell_2165	Cell_2165	456	456
Cell_2166	Cell_2166	477	477
Cell_2167	Cell_2167	466	466
Cell_2168	Cell_2168	475	475
Cell_2169	Cell_2169	455	455
Cell_2170	Cell_2170	470	470
Cell_2171	Cell_2171	442	442
Cell_2172	Cell_2172	488	488
Cell_2173	Cell_2173	496	496
Cell_2174	Cell_2174	460	460
Cell_2175	Cell_2175	461	461
Cell_2176	Cell_2176	448	448
Cell_2177	Cell_2177	466	466
Cell_2178	Cell_2178	454	454
Cell_2179	Cell_2179	433	433
Cell_2180	Cell_2180	486	486
Cell_2181	Cell_2181	437	437
Cell_2182	Cell_2182	488	488
Cell_2183	Cell_2183	490	490
Cell_2184	Cell_2184	447	447
Cell_2185	Cell_2185	468	468
Cell_2186	Cell_2186	468	468
Cell_2187	Cell_2187	469	469
Cell_2188	Cell_2188	457	457
Cell_2189	Cell_2189	444	444
Cell_2190	Cell_2190	457	457
Cell_2191	Cell_2191	498	498
Cell_2192	Cell_2192	481	481
Cell_2193	Cell_2193	484	484
Cell_2194	Cell_2194	452	452
Cell_2195	Cell_2195	462	462
Cell_2196	Cell_2196	448	448
Cell_2197	Cell_2197	447	447
Cell_2198	Cell_2198	455	455
Cell_2199	Cell_2199	463	463
Cell_2200	Cell_2200	457	457
Cell_2201	Cell_2201	416	416
Cell_2202	Cell_2202	447	447
Cell_2203	Cell_2203	476	476
Cell_2204	Cell_2204	468	468
Cell_2205	Cell_2205	476	476
Cell_2206	Cell_2206	480	480
Cell_2207	Cell_2207	478	478
Cell_2208	Cell_2208	487	487
Cell_2209	Cell_2209	469	469
Cell_2210	Cell_2210	483	483
Cell_2211	Cell_2211	458	458
Cell_2212	Cell_2212	462	462
Cell_2213	Cell_2213	453	453
Cell_2214	Cell_2214	487	487
Cell_2215	Cell_2215	484	484
Cell_2216	Cell_2216	479	479
Cell_2217	Cell_2217	468	468
Cell_2218	Cell_2218	475	475
Cell_2219	Cell_2219	480	480
Cell_2220	Cell_2220	421	421
Cell_2221	Cell_2221	464	464
Cell_2222	Cell_2222	484	484
Cell_2223	Cell_2223	504	504
Cell_2224	Cell_2224	486	486
Cell_2225	Cell_2225	471	471
Cell_2226	Cell_2226	486	486
Cell_2227	Cell_2227	459	459
Cell_2228	Cell_2228	471	471
Cell_2229	Cell_2229	432	432
Cell_2230	Cell_2230	448	448
Cell_2231	Cell_2231	443	443
Cell_2232	Cell_2232	465	465
Cell_2233	Cell_2233	441	441
Cell_2234	Cell_2234	503	503
Cell_2235	Cell_2235	485	485
Cell_2236	Cell_2236	445	445
Cell_2237	Cell_2237	497	497
Cell_2238	Cell_2238	465	465
Cell_2239	Cell_2239	449	449
Cell_2240	Cell_2240	516	516
Cell_2241	Cell_2241	485	485
Cell_2242	Cell_2242	487	487
Cell_2243	Cell_2243	459	459
Cell_2244	Cell_2244	485	485
Cell_2245	Cell_2245	462	462
Cell_2246	Cell_2246	467	467
Cell_2247	Cell_2247	425	425
Cell_2248	Cell_2248	469	469
Cell_2249	Cell_2249	458	458
Cell_2250	Cell_2250	454	454
Cell_2251	Cell_2251	481	481
Cell_2252	Cell_2252	487	487
Cell_2253	Cell_2253	459	459
Cell_2254	Cell_2254	468	468
Cell_2255	Cell_2255	500	500
Cell_2256	Cell_2256	463	463
Cell_2257	Cell_2257	464	464
Cell_2258	Cell_2258	476	476
Cell_2259	Cell_2259	434	434
Cell_2260	Cell_2260	426	426
Cell_2261	Cell_2261	454	454
Cell_2262	Cell_2262	450	450
Cell_2263	Cell_2263	475	475
Cell_2264	Cell_2264	463	463
Cell_2265	Cell_2265	456	456
Cell_2266	Cell_2266	491	491
Cell_2267	Cell_2267	461	461
Cell_2268	Cell_2268	463	463
Cell_2269	Cell_2269	480	480
Cell_2270	Cell_2270	466	466
Cell_2271	Cell_2271	476	476
Cell_2272	Cell_2272	470	470
Cell_2273	Cell_2273	466	466
Cell_2274	Cell_2274	485	485
Cell_2275	Cell_2275	477	477
Cell_2276	Cell_2276	494	494
Cell_2277	Cell_2277	430	430
Cell_2278	Cell_2278	471	471
Cell_2279	Cell_2279	475	475
Cell_2280	Cell_2280	440	440
Cell_2281	Cell_2281	475	475
Cell_2282	Cell_2282	462	462
Cell_2283	Cell_2283	482	482
Cell_2284	Cell_2284	455	455
Cell_2285	Cell_2285	449	449
Cell_2286	Cell_2286	478	478
Cell_2287	Cell_2287	468	468
Cell_2288	Cell_2288	440	440
Cell_2289	Cell_2289	466	466
Cell_2290	Cell_2290	481	481
Cell_2291	Cell_2291	454	454
Cell_2292	Cell_2292	444	444
Cell_2293	Cell_2293	488	488
Cell_2294	Cell_2294	459	459
Cell_2295	Cell_2295	450	450
Cell_2296	Cell_2296	475	475
Cell_2297	Cell_2297	458	458
Cell_2298	Cell_2298	464	464
Cell_2299	Cell_2299	478	478
Cell_2300	Cell_2300	451	451
Cell_2301	Cell_2301	455	455
Cell_2302	Cell_2302	488	488
Cell_2303	Cell_2303	447	447
Cell_2304	Cell_2304	499	499
Cell_2305	Cell_2305	487	487
Cell_2306	Cell_2306	434	434
Cell_2307	Cell_2307	453	453
Cell_2308	Cell_2308	457	457
Cell_2309	Cell_2309	471	471
Cell_2310	Cell_2310	480	480
Cell_2311	Cell_2311	457	457
Cell_2312	Cell_2312	496	496
Cell_2313	Cell_2313	495	495
Cell_2314	Cell_2314	459	459
Cell_2315	Cell_2315	454	454
Cell_2316	Cell_2316	475	475
Cell_2317	Cell_2317	453	453
Cell_2318	Cell_2318	458	458
Cell_2319	Cell_2319	477	477
Cell_2320	Cell_2320	457	457
Cell_2321	Cell_2321	440	440
Cell_2322	Cell_2322	466	466
Cell_2323	Cell_2323	450	450
Cell_2324	Cell_2324	452	452
Cell_2325	Cell_2325	491	491
Cell_2326	Cell_2326	468	468
